Sentence,Word,Tag
1,Amit,PER
1,is,O
1,working,O
1,at,O
1,Infosys,ORG
1,in,O
1,Tamil,STA
1,Nadu,STA
1,in,O
1,Chennai,CIT
1,near,O
1,MG,STR
1,Road,STR
2,Priya,PER
2,is,O
2,working,O
2,at,O
2,Tata,ORG
2,Consultancy,ORG
2,Services,ORG
2,in,O
2,Maharashtra,STA
2,in,O
2,Mumbai,CIT
2,near,O
2,Brigade,STR
2,Road,STR
3,Ravi,PER
3,is,O
3,working,O
3,at,O
3,Wipro,ORG
3,in,O
3,Karnataka,STA
3,in,O
3,Bangalore,CIT
3,near,O
3,Park,STR
3,Street,STR
4,Sneha,PER
4,is,O
4,working,O
4,at,O
4,HCL,ORG
4,Technologies,ORG
4,in,O
4,Kerala,STA
4,in,O
4,Kochi,CIT
4,near,O
4,Anna,STR
4,Salai,STR
5,Vikram,PER
5,is,O
5,working,O
5,at,O
5,Tech,ORG
5,Mahindra,ORG
5,in,O
5,Andhra,STA
5,Pradesh,STA
5,in,O
5,Hyderabad,CIT
5,near,O
5,Link,STR
5,Road,STR
6,Neha,PER
6,is,O
6,working,O
6,at,O
6,Infosys,ORG
6,in,O
6,Tamil,STA
6,Nadu,STA
6,in,O
6,Chennai,CIT
6,near,O
6,MG,STR
6,Road,STR
7,Arjun,PER
7,is,O
7,working,O
7,at,O
7,Tata,ORG
7,Consultancy,ORG
7,Services,ORG
7,in,O
7,Maharashtra,STA
7,in,O
7,Mumbai,CIT
7,near,O
7,Brigade,STR
7,Road,STR
8,Kavita,PER
8,is,O
8,working,O
8,at,O
8,Wipro,ORG
8,in,O
8,Karnataka,STA
8,in,O
8,Bangalore,CIT
8,near,O
8,Park,STR
8,Street,STR
9,Amit,PER
9,is,O
9,working,O
9,at,O
9,HCL,ORG
9,Technologies,ORG
9,in,O
9,Kerala,STA
9,in,O
9,Kochi,CIT
9,near,O
9,Anna,STR
9,Salai,STR
10,Priya,PER
10,is,O
10,working,O
10,at,O
10,Tech,ORG
10,Mahindra,ORG
10,in,O
10,Andhra,STA
10,Pradesh,STA
10,in,O
10,Hyderabad,CIT
10,near,O
10,Link,STR
10,Road,STR
11,Ravi,PER
11,is,O
11,working,O
11,at,O
11,Infosys,ORG
11,in,O
11,Tamil,STA
11,Nadu,STA
11,in,O
11,Chennai,CIT
11,near,O
11,MG,STR
11,Road,STR
12,Sneha,PER
12,is,O
12,working,O
12,at,O
12,Tata,ORG
12,Consultancy,ORG
12,Services,ORG
12,in,O
12,Maharashtra,STA
12,in,O
12,Mumbai,CIT
12,near,O
12,Brigade,STR
12,Road,STR
13,Vikram,PER
13,is,O
13,working,O
13,at,O
13,Wipro,ORG
13,in,O
13,Karnataka,STA
13,in,O
13,Bangalore,CIT
13,near,O
13,Park,STR
13,Street,STR
14,Neha,PER
14,is,O
14,working,O
14,at,O
14,HCL,ORG
14,Technologies,ORG
14,in,O
14,Kerala,STA
14,in,O
14,Kochi,CIT
14,near,O
14,Anna,STR
14,Salai,STR
15,Arjun,PER
15,is,O
15,working,O
15,at,O
15,Tech,ORG
15,Mahindra,ORG
15,in,O
15,Andhra,STA
15,Pradesh,STA
15,in,O
15,Hyderabad,CIT
15,near,O
15,Link,STR
15,Road,STR
16,Kavita,PER
16,is,O
16,working,O
16,at,O
16,Infosys,ORG
16,in,O
16,Tamil,STA
16,Nadu,STA
16,in,O
16,Chennai,CIT
16,near,O
16,MG,STR
16,Road,STR
17,Amit,PER
17,is,O
17,working,O
17,at,O
17,Tata,ORG
17,Consultancy,ORG
17,Services,ORG
17,in,O
17,Maharashtra,STA
17,in,O
17,Mumbai,CIT
17,near,O
17,Brigade,STR
17,Road,STR
18,Priya,PER
18,is,O
18,working,O
18,at,O
18,Wipro,ORG
18,in,O
18,Karnataka,STA
18,in,O
18,Bangalore,CIT
18,near,O
18,Park,STR
18,Street,STR
19,Ravi,PER
19,is,O
19,working,O
19,at,O
19,HCL,ORG
19,Technologies,ORG
19,in,O
19,Kerala,STA
19,in,O
19,Kochi,CIT
19,near,O
19,Anna,STR
19,Salai,STR
20,Sneha,PER
20,is,O
20,working,O
20,at,O
20,Tech,ORG
20,Mahindra,ORG
20,in,O
20,Andhra,STA
20,Pradesh,STA
20,in,O
20,Hyderabad,CIT
20,near,O
20,Link,STR
20,Road,STR
21,Vikram,PER
21,is,O
21,working,O
21,at,O
21,Infosys,ORG
21,in,O
21,Tamil,STA
21,Nadu,STA
21,in,O
21,Chennai,CIT
21,near,O
21,MG,STR
21,Road,STR
22,Neha,PER
22,is,O
22,working,O
22,at,O
22,Tata,ORG
22,Consultancy,ORG
22,Services,ORG
22,in,O
22,Maharashtra,STA
22,in,O
22,Mumbai,CIT
22,near,O
22,Brigade,STR
22,Road,STR
23,Arjun,PER
23,is,O
23,working,O
23,at,O
23,Wipro,ORG
23,in,O
23,Karnataka,STA
23,in,O
23,Bangalore,CIT
23,near,O
23,Park,STR
23,Street,STR
24,Kavita,PER
24,is,O
24,working,O
24,at,O
24,HCL,ORG
24,Technologies,ORG
24,in,O
24,Kerala,STA
24,in,O
24,Kochi,CIT
24,near,O
24,Anna,STR
24,Salai,STR
25,Amit,PER
25,is,O
25,working,O
25,at,O
25,Tech,ORG
25,Mahindra,ORG
25,in,O
25,Andhra,STA
25,Pradesh,STA
25,in,O
25,Hyderabad,CIT
25,near,O
25,Link,STR
25,Road,STR
26,Priya,PER
26,is,O
26,working,O
26,at,O
26,Infosys,ORG
26,in,O
26,Tamil,STA
26,Nadu,STA
26,in,O
26,Chennai,CIT
26,near,O
26,MG,STR
26,Road,STR
27,Ravi,PER
27,is,O
27,working,O
27,at,O
27,Tata,ORG
27,Consultancy,ORG
27,Services,ORG
27,in,O
27,Maharashtra,STA
27,in,O
27,Mumbai,CIT
27,near,O
27,Brigade,STR
27,Road,STR
28,Sneha,PER
28,is,O
28,working,O
28,at,O
28,Wipro,ORG
28,in,O
28,Karnataka,STA
28,in,O
28,Bangalore,CIT
28,near,O
28,Park,STR
28,Street,STR
29,Vikram,PER
29,is,O
29,working,O
29,at,O
29,HCL,ORG
29,Technologies,ORG
29,in,O
29,Kerala,STA
29,in,O
29,Kochi,CIT
29,near,O
29,Anna,STR
29,Salai,STR
30,Neha,PER
30,is,O
30,working,O
30,at,O
30,Tech,ORG
30,Mahindra,ORG
30,in,O
30,Andhra,STA
30,Pradesh,STA
30,in,O
30,Hyderabad,CIT
30,near,O
30,Link,STR
30,Road,STR
31,Arjun,PER
31,is,O
31,working,O
31,at,O
31,Infosys,ORG
31,in,O
31,Tamil,STA
31,Nadu,STA
31,in,O
31,Chennai,CIT
31,near,O
31,MG,STR
31,Road,STR
32,Kavita,PER
32,is,O
32,working,O
32,at,O
32,Tata,ORG
32,Consultancy,ORG
32,Services,ORG
32,in,O
32,Maharashtra,STA
32,in,O
32,Mumbai,CIT
32,near,O
32,Brigade,STR
32,Road,STR
33,Amit,PER
33,is,O
33,working,O
33,at,O
33,Wipro,ORG
33,in,O
33,Karnataka,STA
33,in,O
33,Bangalore,CIT
33,near,O
33,Park,STR
33,Street,STR
34,Priya,PER
34,is,O
34,working,O
34,at,O
34,HCL,ORG
34,Technologies,ORG
34,in,O
34,Kerala,STA
34,in,O
34,Kochi,CIT
34,near,O
34,Anna,STR
34,Salai,STR
35,Ravi,PER
35,is,O
35,working,O
35,at,O
35,Tech,ORG
35,Mahindra,ORG
35,in,O
35,Andhra,STA
35,Pradesh,STA
35,in,O
35,Hyderabad,CIT
35,near,O
35,Link,STR
35,Road,STR
36,Sneha,PER
36,is,O
36,working,O
36,at,O
36,Infosys,ORG
36,in,O
36,Tamil,STA
36,Nadu,STA
36,in,O
36,Chennai,CIT
36,near,O
36,MG,STR
36,Road,STR
37,Vikram,PER
37,is,O
37,working,O
37,at,O
37,Tata,ORG
37,Consultancy,ORG
37,Services,ORG
37,in,O
37,Maharashtra,STA
37,in,O
37,Mumbai,CIT
37,near,O
37,Brigade,STR
37,Road,STR
38,Neha,PER
38,is,O
38,working,O
38,at,O
38,Wipro,ORG
38,in,O
38,Karnataka,STA
38,in,O
38,Bangalore,CIT
38,near,O
38,Park,STR
38,Street,STR
39,Arjun,PER
39,is,O
39,working,O
39,at,O
39,HCL,ORG
39,Technologies,ORG
39,in,O
39,Kerala,STA
39,in,O
39,Kochi,CIT
39,near,O
39,Anna,STR
39,Salai,STR
40,Kavita,PER
40,is,O
40,working,O
40,at,O
40,Tech,ORG
40,Mahindra,ORG
40,in,O
40,Andhra,STA
40,Pradesh,STA
40,in,O
40,Hyderabad,CIT
40,near,O
40,Link,STR
40,Road,STR
41,Amit,PER
41,is,O
41,working,O
41,at,O
41,Infosys,ORG
41,in,O
41,Tamil,STA
41,Nadu,STA
41,in,O
41,Chennai,CIT
41,near,O
41,MG,STR
41,Road,STR
42,Priya,PER
42,is,O
42,working,O
42,at,O
42,Tata,ORG
42,Consultancy,ORG
42,Services,ORG
42,in,O
42,Maharashtra,STA
42,in,O
42,Mumbai,CIT
42,near,O
42,Brigade,STR
42,Road,STR
43,Ravi,PER
43,is,O
43,working,O
43,at,O
43,Wipro,ORG
43,in,O
43,Karnataka,STA
43,in,O
43,Bangalore,CIT
43,near,O
43,Park,STR
43,Street,STR
44,Sneha,PER
44,is,O
44,working,O
44,at,O
44,HCL,ORG
44,Technologies,ORG
44,in,O
44,Kerala,STA
44,in,O
44,Kochi,CIT
44,near,O
44,Anna,STR
44,Salai,STR
45,Vikram,PER
45,is,O
45,working,O
45,at,O
45,Tech,ORG
45,Mahindra,ORG
45,in,O
45,Andhra,STA
45,Pradesh,STA
45,in,O
45,Hyderabad,CIT
45,near,O
45,Link,STR
45,Road,STR
46,Neha,PER
46,is,O
46,working,O
46,at,O
46,Infosys,ORG
46,in,O
46,Tamil,STA
46,Nadu,STA
46,in,O
46,Chennai,CIT
46,near,O
46,MG,STR
46,Road,STR
47,Arjun,PER
47,is,O
47,working,O
47,at,O
47,Tata,ORG
47,Consultancy,ORG
47,Services,ORG
47,in,O
47,Maharashtra,STA
47,in,O
47,Mumbai,CIT
47,near,O
47,Brigade,STR
47,Road,STR
48,Kavita,PER
48,is,O
48,working,O
48,at,O
48,Wipro,ORG
48,in,O
48,Karnataka,STA
48,in,O
48,Bangalore,CIT
48,near,O
48,Park,STR
48,Street,STR
49,Amit,PER
49,is,O
49,working,O
49,at,O
49,HCL,ORG
49,Technologies,ORG
49,in,O
49,Kerala,STA
49,in,O
49,Kochi,CIT
49,near,O
49,Anna,STR
49,Salai,STR
50,Priya,PER
50,is,O
50,working,O
50,at,O
50,Tech,ORG
50,Mahindra,ORG
50,in,O
50,Andhra,STA
50,Pradesh,STA
50,in,O
50,Hyderabad,CIT
50,near,O
50,Link,STR
50,Road,STR
51,Ravi,PER
51,is,O
51,working,O
51,at,O
51,Infosys,ORG
51,in,O
51,Tamil,STA
51,Nadu,STA
51,in,O
51,Chennai,CIT
51,near,O
51,MG,STR
51,Road,STR
52,Sneha,PER
52,is,O
52,working,O
52,at,O
52,Tata,ORG
52,Consultancy,ORG
52,Services,ORG
52,in,O
52,Maharashtra,STA
52,in,O
52,Mumbai,CIT
52,near,O
52,Brigade,STR
52,Road,STR
53,Vikram,PER
53,is,O
53,working,O
53,at,O
53,Wipro,ORG
53,in,O
53,Karnataka,STA
53,in,O
53,Bangalore,CIT
53,near,O
53,Park,STR
53,Street,STR
54,Neha,PER
54,is,O
54,working,O
54,at,O
54,HCL,ORG
54,Technologies,ORG
54,in,O
54,Kerala,STA
54,in,O
54,Kochi,CIT
54,near,O
54,Anna,STR
54,Salai,STR
55,Arjun,PER
55,is,O
55,working,O
55,at,O
55,Tech,ORG
55,Mahindra,ORG
55,in,O
55,Andhra,STA
55,Pradesh,STA
55,in,O
55,Hyderabad,CIT
55,near,O
55,Link,STR
55,Road,STR
56,Kavita,PER
56,is,O
56,working,O
56,at,O
56,Infosys,ORG
56,in,O
56,Tamil,STA
56,Nadu,STA
56,in,O
56,Chennai,CIT
56,near,O
56,MG,STR
56,Road,STR
57,Amit,PER
57,is,O
57,working,O
57,at,O
57,Tata,ORG
57,Consultancy,ORG
57,Services,ORG
57,in,O
57,Maharashtra,STA
57,in,O
57,Mumbai,CIT
57,near,O
57,Brigade,STR
57,Road,STR
58,Priya,PER
58,is,O
58,working,O
58,at,O
58,Wipro,ORG
58,in,O
58,Karnataka,STA
58,in,O
58,Bangalore,CIT
58,near,O
58,Park,STR
58,Street,STR
59,Ravi,PER
59,is,O
59,working,O
59,at,O
59,HCL,ORG
59,Technologies,ORG
59,in,O
59,Kerala,STA
59,in,O
59,Kochi,CIT
59,near,O
59,Anna,STR
59,Salai,STR
60,Sneha,PER
60,is,O
60,working,O
60,at,O
60,Tech,ORG
60,Mahindra,ORG
60,in,O
60,Andhra,STA
60,Pradesh,STA
60,in,O
60,Hyderabad,CIT
60,near,O
60,Link,STR
60,Road,STR
61,Vikram,PER
61,is,O
61,working,O
61,at,O
61,Infosys,ORG
61,in,O
61,Tamil,STA
61,Nadu,STA
61,in,O
61,Chennai,CIT
61,near,O
61,MG,STR
61,Road,STR
62,Neha,PER
62,is,O
62,working,O
62,at,O
62,Tata,ORG
62,Consultancy,ORG
62,Services,ORG
62,in,O
62,Maharashtra,STA
62,in,O
62,Mumbai,CIT
62,near,O
62,Brigade,STR
62,Road,STR
63,Arjun,PER
63,is,O
63,working,O
63,at,O
63,Wipro,ORG
63,in,O
63,Karnataka,STA
63,in,O
63,Bangalore,CIT
63,near,O
63,Park,STR
63,Street,STR
64,Kavita,PER
64,is,O
64,working,O
64,at,O
64,HCL,ORG
64,Technologies,ORG
64,in,O
64,Kerala,STA
64,in,O
64,Kochi,CIT
64,near,O
64,Anna,STR
64,Salai,STR
65,Amit,PER
65,is,O
65,working,O
65,at,O
65,Tech,ORG
65,Mahindra,ORG
65,in,O
65,Andhra,STA
65,Pradesh,STA
65,in,O
65,Hyderabad,CIT
65,near,O
65,Link,STR
65,Road,STR
66,Priya,PER
66,is,O
66,working,O
66,at,O
66,Infosys,ORG
66,in,O
66,Tamil,STA
66,Nadu,STA
66,in,O
66,Chennai,CIT
66,near,O
66,MG,STR
66,Road,STR
67,Ravi,PER
67,is,O
67,working,O
67,at,O
67,Tata,ORG
67,Consultancy,ORG
67,Services,ORG
67,in,O
67,Maharashtra,STA
67,in,O
67,Mumbai,CIT
67,near,O
67,Brigade,STR
67,Road,STR
68,Sneha,PER
68,is,O
68,working,O
68,at,O
68,Wipro,ORG
68,in,O
68,Karnataka,STA
68,in,O
68,Bangalore,CIT
68,near,O
68,Park,STR
68,Street,STR
69,Vikram,PER
69,is,O
69,working,O
69,at,O
69,HCL,ORG
69,Technologies,ORG
69,in,O
69,Kerala,STA
69,in,O
69,Kochi,CIT
69,near,O
69,Anna,STR
69,Salai,STR
70,Neha,PER
70,is,O
70,working,O
70,at,O
70,Tech,ORG
70,Mahindra,ORG
70,in,O
70,Andhra,STA
70,Pradesh,STA
70,in,O
70,Hyderabad,CIT
70,near,O
70,Link,STR
70,Road,STR
71,Arjun,PER
71,is,O
71,working,O
71,at,O
71,Infosys,ORG
71,in,O
71,Tamil,STA
71,Nadu,STA
71,in,O
71,Chennai,CIT
71,near,O
71,MG,STR
71,Road,STR
72,Kavita,PER
72,is,O
72,working,O
72,at,O
72,Tata,ORG
72,Consultancy,ORG
72,Services,ORG
72,in,O
72,Maharashtra,STA
72,in,O
72,Mumbai,CIT
72,near,O
72,Brigade,STR
72,Road,STR
73,Amit,PER
73,is,O
73,working,O
73,at,O
73,Wipro,ORG
73,in,O
73,Karnataka,STA
73,in,O
73,Bangalore,CIT
73,near,O
73,Park,STR
73,Street,STR
74,Priya,PER
74,is,O
74,working,O
74,at,O
74,HCL,ORG
74,Technologies,ORG
74,in,O
74,Kerala,STA
74,in,O
74,Kochi,CIT
74,near,O
74,Anna,STR
74,Salai,STR
75,Ravi,PER
75,is,O
75,working,O
75,at,O
75,Tech,ORG
75,Mahindra,ORG
75,in,O
75,Andhra,STA
75,Pradesh,STA
75,in,O
75,Hyderabad,CIT
75,near,O
75,Link,STR
75,Road,STR
76,Sneha,PER
76,is,O
76,working,O
76,at,O
76,Infosys,ORG
76,in,O
76,Tamil,STA
76,Nadu,STA
76,in,O
76,Chennai,CIT
76,near,O
76,MG,STR
76,Road,STR
77,Vikram,PER
77,is,O
77,working,O
77,at,O
77,Tata,ORG
77,Consultancy,ORG
77,Services,ORG
77,in,O
77,Maharashtra,STA
77,in,O
77,Mumbai,CIT
77,near,O
77,Brigade,STR
